City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,bundaberg,-24.85,152.35,29.56,74,0,1.79,AU,1678862261
150,ojinaga,29.5667,-104.4167,19.12,59,0,6.69,MX,1678862262
151,iqaluit,63.7506,-68.5145,-23.15,84,40,0.0,CA,1678862263
152,vao,-22.6667,167.4833,25.31,87,100,9.74,NC,1678861982
153,khvastovichi,53.4694,35.0941,2.78,84,91,5.69,RU,1678862264
154,plouzane,48.3833,-4.6167,6.03,90,0,2.57,FR,1678862194
155,pauini,-7.7136,-66.9764,21.64,98,100,0.58,BR,1678862265
156,airai,-8.9266,125.4092,20.12,82,77,0.88,TL,1678862266
157,alice springs,-23.7,133.8833,38.75,11,2,2.57,AU,1678862267
158,san quintin,30.4833,-115.95,15.54,81,99,1.99,MX,1678862204
159,mafinga,-7.25,35.0667,19.18,91,100,0.88,TZ,1678862268
160,kahului,20.8947,-156.47,24.06,88,20,5.66,US,1678862114
161,aswan,24.0934,32.907,19.33,32,0,4.62,EG,1678862269
162,fiche,9.8,38.7333,16.37,46,100,1.1,ET,1678862270
163,hilo,19.7297,-155.09,26.82,93,75,2.06,US,1678861946
164,san,13.3034,-4.8956,27.29,11,16,3.88,ML,1678862136
165,beni suef,29.0731,31.0979,15.49,56,0,2.04,EG,1678862271
166,cedar city,37.6775,-113.0619,6.54,70,40,11.83,US,1678862253
167,sao joao da barra,-21.6403,-41.0511,23.24,88,18,1.92,BR,1678862272
168,hasaki,35.7333,140.8333,17.94,56,0,2.94,JP,1678862108
169,kimbe,-5.5502,150.1429,28.4,78,76,1.95,PG,1678862274
170,kodiak,57.79,-152.4072,-4.27,58,20,4.12,US,1678862018
171,wanning,18.8003,110.3967,25.51,60,24,3.8,CN,1678862275
172,sao mateus do sul,-25.8742,-50.3828,16.36,100,100,1.12,BR,1678862275
173,douentza,14.9951,-2.9517,25.79,12,1,1.83,ML,1678862276
174,golden,39.7555,-105.2211,9.45,39,0,3.09,US,1678862277
175,padang,-0.9492,100.3543,31.03,75,100,1.59,ID,1678861956
176,husavik,66.0449,-17.3389,-7.98,68,100,6.01,IS,1678862051
177,lagoa,39.05,-27.9833,13.9,83,0,13.08,PT,1678862058
178,nsanje,-16.92,35.262,20.19,99,100,1.75,MW,1678862279
179,qaanaaq,77.484,-69.3632,-16.15,74,100,0.72,GL,1678862042
180,dingle,10.9995,122.6711,29.34,59,74,5.09,PH,1678862280
181,haines junction,60.7522,-137.5108,-21.03,71,100,0.0,CA,1678862281
182,saint-francois,46.4154,3.9054,-1.31,100,40,0.51,FR,1678862282
183,flinders,-34.5833,150.8552,26.14,68,29,1.48,AU,1678862282
184,ribas do rio pardo,-20.4431,-53.7592,20.79,95,98,1.03,BR,1678862284
185,victoria,22.2855,114.1577,24.03,76,8,3.58,HK,1678862283
186,portland,45.5234,-122.6762,6.97,78,40,0.0,US,1678862183
187,kondinskoye,59.6481,67.41,-2.95,80,6,2.23,RU,1678862285
188,san rafael,-34.6177,-68.3301,23.65,59,0,2.84,AR,1678862286
189,loksa,59.5764,25.7214,1.07,89,100,5.55,EE,1678862289
190,yar-sale,66.8333,70.8333,-5.23,75,100,9.79,RU,1678862291
191,chuy,-33.6971,-53.4616,23.37,91,72,3.38,UY,1678862036
192,kamenka,51.3223,42.7678,4.78,44,100,7.75,RU,1678862292
193,santa maria,-29.6842,-53.8069,21.76,95,95,2.72,BR,1678862293
194,tura,25.5198,90.2201,32.18,26,89,3.44,IN,1678862293
195,kallifitos,41.1667,24.2167,9.39,68,92,1.36,GR,1678862294
196,kidal,18.4411,1.4078,26.0,10,9,3.84,ML,1678862143
197,provideniya,64.3833,-173.3,-21.69,78,0,3.2,RU,1678861991
198,kachiry,53.0675,76.1036,0.66,96,100,5.83,KZ,1678862296
199,mizdah,31.4451,12.9801,14.47,57,0,5.67,LY,1678862297
200,arona,28.0996,-16.681,18.28,61,20,4.63,ES,1678862298
201,chiman,32.5463,73.8138,33.61,13,92,0.71,PK,1678862299
